"What type of services has the Indian government exempted from Integrated Goods and Services Tax (IGST) from October 1, 2023?",Ocean freight services
What was the inflation rate in the Eurozone in September 2023?,4.30%
Who won the gold medal in the women's singles event at the 2023 World Badminton Championships?,An Se-young
Who won the gold medal in the men's 3000m steeplechase event at the Asian Games 2023?,Avinash Sable
How many Indian Nobel Laureates are there as of September 2023?,9
When is Lal Bahadur Shastri Jayanti celebrated in 2023?,2nd October
Who won the gold medal in the men's shot put event at the Asian Games 2023?,Tajinderpal Singh Toor
What was Pakistan's inflation rate in September 2023?,31.40%
"Who won the gold medal in the women's 5000m at the 2023 Asian Games, becoming the third Indian track and field athlete to do so?",Parul Chaudhary
When is World Space Week 2023 celebrated?,October 4 to 10
Who won the Maldives presidential election in 2023?,Mohamed Muizzu
What was the growth rate of India's GST (Goods and Services Tax) revenue in September 2023?,10.20%
How many agri-startups were recommended for support from a pool of Rs 20 crore in the ATMAN 2023 program?,24
Who was appointed as mentor for the Afghanistan Cricket Team in the ICC Cricket World Cup 2023?,Ajay Jadeja
What is the World Bank's retail inflation forecast for India for FY24?,5.90%
Who won gold in the women’s javelin throw at the Asian Games 2023?,Annu Rani
Which country won gold in the Archery Mixed Team Compound at the Asian Games 2023?,India
Who is the Global Ambassador for the 2023 Cricket World Cup?,Sachin Tendulkar
What is the World Bank's GDP growth forecast for India in FY24?,6.30%
What is the interest rate on General Provident Fund (GPF) savings for the October-December 2023 quarter?,7.10%
"Who was appointed as Executive Director of RBI on October 3, 2023?",Muneesh Kapur
Who won the gold medal in the men's javelin throw at the Asian Games 2023?,Neeraj Chopra
Who inaugurated the 4th EMRS National Cultural & Literary Fest and Kala Utsav-2023?,Arjun Munda
Who were the winners of the Nobel Prize in Physiology or Medicine in 2023?,Katalin Karikó and Drew Weissman
Which Indian company delivered the first trainer version of the Light Combat Aircraft (LCA) Tejas to the Indian Air Force in 2023?,Hindustan Aeronautics Limited (HAL)
Which country won the gold medal in the men's 4x400m relay at the Asian Games 2023?,India
Who won the Nobel Prize in Literature in 2023?,Jon Fosse
Who joined Deloitte Touche Tohmatsu India LLP as a senior adviser in 2023?,Aditya Puri
What is UNCTAD's revised economic growth forecast for India in 2023?,6.60%
In which city was the 46th edition of the Pacific Asia Travel Association (PATA) Travel Mart 2023 held?,New Delhi
Which country won the gold medal in compound archery at the 2023 Asian Games?,India
Who was awarded the Tata Literature Live! Lifetime Achievement Award in 2023?,C S Lakshmi
Who was awarded the Sahitya Akademi's Bal Sahitya Puraskar in Manipuri language for the year 2023?,Dilip Nongmaithem
Which country won the gold medal in the compound men's team archery at the Asian Games 2023?,India
What was the value of India's services sector Purchasing Managers' Index (PMI) in September 2023?,61
Which country won the gold medal in the mixed doubles squash tournament at the Asian Games 2023?,India
Who was awarded the Nobel Peace Prize in 2023?,Narges Mohammadi
Which Indian athlete won gold in the women's individual compound archery event at the 2023 Asian Games?,Jyothi Surekha Vennam
Which country won the gold medal in the men's hockey event at the 2023 Asian Games?,India
Which country won the gold medal in the women's kabaddi event at the 2023 Asian Games?,India
Which country won the gold medal in the men's cricket T20 competition at the 2023 Asian Games?,India
Who won the 2023 Nobel Prize in Economic Sciences?,Claudia Goldin
What was the urban unemployment rate in India in the first quarter of the fiscal year 2023-24?,6.60%
When is World Mental Health Day 2023?,October 10th
What is the fiscal deficit as a percentage of the full-year target for the April-August period in FY24?,36%
Who unveiled the system-based automatic 'Status Holder' certificates under the Foreign Trade Policy (FTP) 2023?,Piyush Goyal
Which state government approved a 1000-km long economic corridor project with an investment of Rs 3000 crore in October 2023?,Assam
Which bank was stopped by RBI from adding new customers to its mobile app in October 2023?,Bank of Baroda
"What is the percentage growth in India's net direct tax collections for the period up to October 9, 2023?",21.80%
"With which country did India sign a defence cooperation agreement on October 10, 2023?",Italy
Who was elected Chairman of the Association of Mutual Funds in India (AMFI) in October 2023?,Navneet Munot
Where was the 26th Energy Technology Meet held in October 2023?,New Delhi
"What is the revised GDP growth forecast for India in the fiscal year 2023-24, according to the IMF's October 2023 World Economic Outlook report?",6.30%
